car_model_year,car_model,credit_card,full_name
2007,G,3573607168004128,Erek Clench
2009,Caliber,5010123173045318,Lexi Northley
2008,RS4,201716548446648,Rowe Giuroni
2008,Quattroporte,5602236655550607,Dalia Tunnoch
2000,Excursion,6304769311559834975,Tamara Bidgod
1992,240SX,5602227828575225,Norma Stuckow
1998,Metro,50387436041675087,Udale Lindley
1995,Skylark,3553795688469980,Parrnell Keays
1993,Eldorado,3548247043751262,Raffarty McLarty
1989,E-Class,67628611816813625,Madeline Chippindall
1987,Skylark,5010128384897381,Janean Gerdts
2002,M3,5100704577934222,Selene Gercke
2005,S40,337941820930633,Edgardo Yanele
1997,S90,3542732128258628,Nellie Farenden
1999,Passport,374283675011514,Loralee Krook
2001,Boxster,30254968111952,Mervin Welburn
2010,Kizashi,3533392375330967,Timmie Bunnell
2000,L-Series,30343682070394,Meghan Doumerque
1997,Econoline E250,6759520724548281,Stevena Loyd
2008,Civic,6333236484385468,Dory Giorgio
1998,Cirrus,3550351021520361,Allan Bown
2003,SLK-Class,3540091857794267,Parsifal Bryns
2008,Challenger,3536230952950533,Junia Karczinski
2000,New Beetle,3545974756244119,Aguie Paddon
1994,Viper,3540860966890301,Shoshanna Scardafield
1993,Corvette,5575547668161346,Carlee Rizzardo
2010,Cooper,5100146118085793,Base Critchard
2011,9-4X,3563993520706770,Sherline Paal
2011,1 Series,6304730863967395409,Teirtza Crossfield
2006,Sebring,3582114076641876,Costanza Lehrmann
2010,Vibe,3569710085630227,Son Kenan
1999,GS,3562351553783490,Pippa Issard
2000,Durango,3534063699310121,Gualterio Ronci
2006,SLK-Class,3557731592159413,Elise Dudenie
2008,xB,589397467908079969,Nathaniel Oxx
1990,XT,3556491883929088,Yancey Bourgourd
1995,Esprit,560222181256035075,Cornela Reding
1996,Protege,3534009530269703,Lolly Malloy
1998,Mark VIII,3574515486504530,Janey Ellis
2006,Cobalt,373382266490771,Moss Hassin
2006,Mazdaspeed6,374283055265599,Estele Ponde
1996,Firebird,3588430406719560,Alec Bastick
1998,4Runner,3552565419551450,Sterne Skrines
2000,Tahoe,3570979314701946,Franz Coomber
2004,Pilot,3587544991878184,Vinson Blaschek
2008,IS F,4405843299656393,Weider Durdy
2005,Envoy XUV,3581536308978281,Alexina Moysey
2004,Celica,67631449768811494,Tait Speers
2007,H2,4917372263402767,Lauree Powe
1995,Sonata,3561154033953712,Maurizia Quimby
2007,LR3,4041378263055900,Susann Raspison
2011,Galant,5484874296102165,Karlik Eichmann
2008,C70,36608415977204,Hubie Kieff
2006,Stratus,5100136770090645,Herta Wharby
1995,Acclaim,5602210901953321208,Fabe Smout
1992,SVX,4917822062848396,Rafaelia Clarae
2007,XC70,3547511462989062,Dominik Flury
2010,FJ Cruiser,6370275551962613,Iago Melburg
1986,Laser,5602233219759279,Arney Burtwistle
2008,Eos,4905094955236208193,Ed Kowalik
1991,Taurus,3544443812195914,Charita Zapatero
1998,Windstar,3586426973221925,Dotty Vidineev
1998,A6,4405812201423424,Delainey Labbati
2006,RX,4175005619404544,Evvie Scarce
1988,Thunderbird,373544582712663,Gannie Rait
2004,GS,5435520168551126,Duky Clive
2009,Vibe,3574299821173364,Chrissy Geroldini
1993,Riviera,3564790799400104,Aldis Breadon
1990,Mirage,50183355531931170,Sibyl Lung
2005,Eclipse,4041597982554279,Hillary Chelsom
1984,6000,633110224783786321,Ricca Ravenscraft
1987,Cordia,63044317130176609,Kyrstin Caley
2001,Boxster,3528913784376007,Tania Smedmoor
1995,Rodeo,201486321971879,Matthaeus Priditt
1998,Tracer,5100172995077604,Seumas Marion
2000,Tacoma Xtra,675932709179929219,Rupert Antonat
2003,Ascender,3588337008701948,Inglebert Corrie
2009,Savana,5893818070214709,Nikolas Rennels
1968,Cougar,5602224778934577,Montgomery Honeywood
2007,SLK-Class,6390590369932939,Shea Kubicek
2003,H2,3531005242400951,Heinrick Rearie
2008,Armada,3535382192659548,Obidiah Sweett
2009,Mariner,56022273649132692,Hewet Liffe
2004,Verona,3546570003707418,Maisey Gircke
2001,IS,3535870524874322,Saunder Drache
2002,Frontier,3574699326073698,Corinna Dightham
2009,Taurus,3573670512365330,Quint Romanet
2003,Sorento,3559928933398639,Misti Ducker
2010,G3,3585212491752646,Tanney Lissett
1995,929,3585404426806221,Brien Skillicorn
2003,Express 1500,3555946359161301,Sybille Simone
2009,Sable,3559267757381060,Bendick Devoy
2011,G37,3588369519394426,Flor Mengue
2010,RX Hybrid,3551933944751337,Tabb Crannach
2003,Sierra 3500,3589864613886763,Danette Henker
2012,Cayenne,6304167603422293,Sawyer Dincey
1994,MX-5,3542526179811578,Archie McCard
2008,Camry Hybrid,56022388731600214,Elroy Knappett
2002,Ram Van 3500,3546433496608801,Cleveland Blackburn
1988,Escort,3550429508202750,Renaldo Sybe
1997,MX-6,3554446578156910,Candace Kersley
1998,Escort,5002354606140018,Stacy Rocks
2011,Rapide,5100135070003852,Isabelita Pitkethly
2004,TSX,3573079611720728,Sophronia Jansie
1996,Diamante,201417810557192,Moss Purcer
1997,Suburban 2500,6709885117186739,Bev Pele
1994,Yukon,3568367566831724,Kurt Gaiford
1999,1500 Club Coupe,3545528039894908,Briney Royal
1984,Fiero,67091853874282792,Ange Sanz
2004,S80,3573574609750133,Ax Blaskett
2003,LX,5602256432762655,Candy Champkin
2011,Escalade,3538345095124875,Saul Bellringer
1996,Breeze,3536120440804410,Lon Scipsey
1991,Coupe Quattro,3543917185625202,Sib Hirche
1989,E-Series,5602255159593442,Sabine Paramor
2007,QX,30519309118290,Emlynn Vaney
1984,F150,56022446296959944,Powell Davidovsky
2007,S2000,5602241084725135,Mose Torn
1987,911,3589736170545851,Marge Greenhough
2011,3500,5602216579639389,Dorree Baroch
2006,M,5602226769313836,Calley Sachno
2004,Yukon,4534890412700958,Arlen Usher
2011,Insight,36146042637339,Fabiano Cloney
2010,X3,3558370229981540,Roshelle Lehemann
1995,Eldorado,3581483910586659,Georgeta Brymner
2012,9-3,6334610785242889777,Cort Fenge
1999,F250,4917027614393921,Darb Tucknutt
1970,Torino,3535115063567972,Lianna Sposito
1993,Thunderbird,6767372326224592,Emera Gartshore
1992,NX,3567655966296576,Hobie Alderwick
2003,Bonneville,6331104293651458,Zandra Kerne
2008,Avenger,30461614671608,Ida Hannigan
2008,Tundra,3586622450981706,Wilburt Happel
2002,Camry,3572012236882178,Lorie Tumini
2012,Avenger,3577880242724708,Hephzibah Brimblecombe
1993,Econoline E150,3540776760328514,Faith Cords
1998,Skylark,501890634017260833,Emery Leyre
1997,Wrangler,589398418835340379,Vern Cassely
1987,4000CS Quattro,5048378688047433,Mariana Ibbitson
2003,Eurovan,5602232474666427,Jen Butterfint
2005,Yukon,3530766651687526,Madeleine Kilcullen
2011,LR2,3563149534667728,Tucky Neasam
2007,Silverado 1500,374288738360345,Cecilio Knatt
2011,Miata MX-5,3569815996774988,Ezechiel Thowes
2012,Veloster,3574283161295474,Sylvia Thumann
2007,S6,67597591630272975,Ofilia Hutchinson
2009,Ram,3551735699757231,Anders Twelve
1994,Tempo,630449465138465651,Verena Stichel
2005,Eclipse,3537040827401680,Harmony Nurdin
1976,Grand Prix,3557788123946627,Martguerita Choudhury
1987,Grand Am,3531524467238805,Dion Sothern
1998,Celica,343586330769641,Rene Dodson
1994,Truck,5002354018781664,Stacey O'Fihily
2001,M,5602242985445474099,Ragnar Manson
2006,Express 1500,3574763480640419,Janina Weeks
2012,Outlander Sport,3565403038429343,Nellie Como
2006,H3,3560910035551817,Hiram Kelston
1995,Viper RT/10,3549049594611849,Germain Vigors
1984,Brat,3536375231417893,Sissy Ingledew
2007,Expedition,4913588899433827,Paton Sabater
2007,E350,5100141138157482,Emmeline Whitbread
1991,911,3539668219951371,Wilmette Klosges
1989,Legend,5422312135238416,Morna Cridlin
2006,Mazda6,3572464271892408,Mick Traske
1985,E-Series,379465205477993,Karim Moncrefe
2002,Montero Sport,3549751945918183,Temple Burdon
2001,Corvette,343820427303273,Abeu Shoobridge
1993,Tempo,630439828255562943,Gaye Verryan
1989,Tempo,30564398901974,Arnie Cuesta
2010,Accord Crosstour,6331103053509609432,Derwin Byford
2011,Discovery,3568863620870286,Myer Baser
2002,CL-Class,633322736724145204,Sula Sweet
2003,Solara,30341350464972,Venus Benkin
2007,Tribeca,201460352230471,Ky Bickerdyke
1992,7 Series,3574271520897197,Dev Sedge
1993,1500 Club Coupe,3589642249736085,Rockie Tills
2006,Element,5387141936560477,Dorolisa Bingley
2005,Viper,3571700524536701,Karel Bourley
2007,Cayman,4175009353190491,Nerti Gribbell
2012,RL,3566983011976237,Dede Adelberg
1998,A6,676280969538545595,Toddy Espinoza
1993,H1,4911715266061590,Gaspar Tyce
1977,Grand Prix,560223182679151191,Vin Thaim
1983,Caprice,560225538148120141,Lulu Carnelley
2009,Explorer Sport Trac,676289323792409356,Vasily Dunican
2009,GL-Class,3573136867616651,Fulvia Mussett
2011,Savana 2500,3574747217749106,Hurlee Silver
2000,Taurus,4041592330034074,Rafaello Fisher
2009,IS F,3553715650570318,Sidonnie Caldera
2000,Escalade,3548926992000793,Shell Lanfare
1992,Pajero,3536967691151366,Lissi Doleman
1989,LS,3544220087244274,Norry Raymen
1985,Grand Am,4017955618392,Birgitta Cathrall
1992,SC,5602235185238188,Aura Sprigings
1996,Vision,201552337468463,Glory Waddingham
1997,Ram 1500,5495824116942578,Grata Lifsey
1999,Sentra,3531311166877756,Coletta MacGillespie
1992,Sentra,5602244348229902,Ilyssa Robard
1993,Xtra,36142927276400,Benedetto Moughtin
2003,RX,6759483091958035198,Florina Minshaw
2005,Optima,3580268366956303,Maxy Edington
1993,Mighty Max Macro,3544817095295428,Berni April
1999,G,5018662490489925,Eugenia Mauchline
1992,Tercel,201494004236875,Nelly Mazzey
1985,W201,3585363912392551,Arne Gamlin
1998,Tercel,3555915862084144,Tarrance Stanlock
2005,Dakota,4844249029657041,Flory Hamil
2012,A4,3579487254400165,Tova Plackstone
2009,1 Series,5248182676383448,Abby Zimmer
1998,Corvette,3567152106952417,Yetta Mirralls
1998,9000,3571217395032835,Tedman Baylay
2001,Ram 1500 Club,3566737147531112,Ogden Imlen
2005,Z4,5100170520996157,Clarence Bortolutti
2005,Express 2500,3575385250224676,Penni Stickley
2008,i-370,4913802084578928,Dimitry Kettle
1996,A6,201689166851672,Averyl Inderwick
2007,Express 3500,3540024315196007,Nadya Bootton
1986,LTD,3529854223962479,Lian Grimsley
2002,S4,201600661511158,Roslyn Gwilym
1992,8 Series,342573726771051,Margarette Schoffler
2011,IS F,3586597862304194,Chicky Woolsey
1987,Galant,3578115129834547,Charmane Moquin
2001,Sunfire,201443946966982,Coraline Hughes
1987,Pajero,3540419497596257,Fania Rhymes
2008,Explorer Sport Trac,3530902664341633,Henrie Bolden
1971,Vega,3553010692084662,Effie Bevington
2013,X6 M,6762372752400797325,Elane Haining
1993,929,4175006986410312,Marlin Spataro
1997,LSS,4405252175336809,Danita Lishmund
1988,Turbo Firefly,3584786647073297,Marleen Deesly
1987,Ranger,377007105535397,Olly Kennea
1995,3500,3577156271204429,Tuesday Caughan
2007,Impreza,3589727671197227,Roderick Affuso
1995,Discovery,3543742266259485,Gabbi Scotchmor
1995,Grand Marquis,3555162453225030,Moe Colthard
2003,Rodeo Sport,3530085075715692,Isiahi Tollady
2001,Tacoma Xtra,5590317978517426,Emilia Bolesworth
2008,599 GTB Fiorano,5100147066347011,Pavla Winridge
1998,Mustang,3535455648427114,Sheree Been
2006,B-Series,560223168392463500,Gray Cool
2010,LS Hybrid,6333749875241921089,Berenice Bowfin
2004,Tundra,3567457027193938,Meryl Bodsworth
2011,XJ,5007668707878464,Jerrold Haitlie
1998,Corvette,3544040193740340,Dexter Atteridge
2008,Yukon XL 1500,6767132901378406670,Quentin Philo
1999,Town & Country,3569343214016199,Daffie Chalkly
2005,Baja,560221457952287934,Reynold Varren
2008,TT,3564686813525217,Penn Frawley
2009,Tiguan,5561356324184593,Marianna Baxill
1985,Esprit,5602214671586988,Hermina Geall
2002,rio,30561091365473,Lisbeth Sellars
2007,Daewoo Lacetti,3550496936460086,Park Moulden
1993,Celica,676192448856321670,Sidonia Norgan
2007,Continental GT,630480526219869911,Ethelda Loveguard
1998,Talon,503839732501161895,Harri Juden
2009,CTS,374622403150815,Maryjane Wardesworth
2009,Z4,3548314102220934,Charmaine Noone
1995,Corsica,491192826159786927,Ceciley Duffus
1988,911,3575691534076257,Red Huntall
1992,Spider,675985584338745756,Avrit Heisler
1998,Continental,372301179706934,Findlay Waldron
1991,Skylark,5602238659024621,Gifford Artingstall
2006,Element,6386626105543089,Audi Sapsford
1999,Venture,3576954471137261,Goldarina Fyrth
1989,Gemini,3553741178111146,Benny Lammert
1985,Sunbird,30056729459384,Cornela Franciskiewicz
1992,300SD,337941307374545,Germain Bonnyson
1997,Esteem,3567478572905070,Nadean Posnett
2010,4Runner,3541857481919754,Lodovico Ranger
1993,Colt Vista,3565670074173403,Lilla Davidai
1978,Celica,3536941033377633,Nichole Horsted
1996,Silhouette,677127766563028124,Gaston Kingzeth
2007,4Runner,5602234715325961265,Florina Figgins
2010,Insight,3587386383458690,Loy Allchin
2006,Canyon,3582751630281531,Brianne Dast
2010,A5,3528487293007999,Amitie Dillamore
1988,Grand Prix,6334955060541324782,Cairistiona Pirrie
1993,Defender 110,5641827835558578,Rose Simonato
2006,Rainier,4175009184445403,Robbyn Collingdon
2010,Sierra 3500,30315957387273,Stillmann Bullivent
2010,H3,5602247677245852,Electra Gisburn
1994,Mark VIII,6304172868193936,Garnet Nettleship
2010,M,676722593958112037,Stevie Letherbury
1995,T100 Xtra,4903681512273409038,Carlita Ferronier
2001,GS,3565754463956477,Derby Quinevan
1996,S-Series,5438273809559317,Janis Twiggs
2010,E350,6381123212268318,Nisse Lavelle
2002,B-Series,3529752902166042,Sue Eitter
1985,Chariot,3532210157874120,Ulises Rylatt
2008,Envoy,201918217078971,Boniface Grigoli
2007,Monte Carlo,3546435112600096,Harmon Langshaw
1994,Econoline E150,5602231540706399,Sammie Schettini
2010,X5,3543092599117343,Augustine Ferber
1996,Tahoe,3531896350745132,Brittney Sothern
1994,Suburban 1500,5602217065036536,Janie Mackrell
1987,Escort,3536506606542275,Murielle Tregiddo
2005,Envoy XL,30432604660216,Odelinda Craney
1998,1500,5576993999915092,Cristin Tomaszynski
2009,Mustang,4017951116672,Constancia Kopps
1996,Accord,4041598089638882,Lauraine Carrigan
2011,Evora,5602226047581790,Rosalind Fretwell
2007,Sierra 1500,5100178333574160,Cari Mayell
2002,Maxima,3552553666158179,Adelaida Petersen
2010,Dakota,3586761600720588,Kat Ca
2010,Ghost,56022515085703117,Carleen Zeal
2009,XC70,3572037309265704,Rockwell Eassom
1992,Storm,5602251608078598,Jacklyn Kirke
1992,Premier,5428964763498698,Dukie Withringten
1996,Civic,5893113619932672482,Adorne Klainer
2000,Suburban 2500,30544435245999,Patton Casellas
2001,626,347122374228033,Simone Tilburn
2004,Phaeton,4175000654352229,Naomi Arkcoll
1997,Riviera,3547533950759849,Muire Godman
2012,A7,36294541448327,Karlee Jude
2002,Aztek,3531253370156330,Jarib Koppelmann
2006,Mazda6 5-Door,30168912523338,Ethelind Coldrick
2006,DTS,4844018864414317,Dorisa Tsarovic
1996,TL,3572851386777294,Celestia Bridgens
2001,Town & Country,6334971389945742103,Reinaldos Dunleavy
2001,Ram Van 2500,4026892862676881,Dory Sasser
1995,9000,4319117133140,Livvy Piesing
2005,Optima,589336827491607613,Doll Leith-Harvey
2012,Explorer,3575844782459663,Penrod Chafer
2009,Outlook,3575425940913203,Jedidiah Petrovic
2000,Sonata,4175005017750688,Nickola Wittman
2002,S80,5368728986126820,Genevieve Perren
2008,i-Series,676724471925735156,Brigg Jereatt
1997,Achieva,30263184918686,Raymond Fishwick
1998,Grand Am,3553880638936682,Linnet Raspel
1992,Viper,5602224830724974,Derry Sweedland
1999,Jetta,5018715958114607,Jasun Edscer
2004,LeSabre,6759815915207382515,Hayward Kerss
1985,GTI,560222588718748261,Arther Mabbitt
2009,RDX,6763797523639920383,Chan Neno
2007,Tundra,3544309407516329,Eddie Lemon
1993,Rodeo,5588437777302533,Cam Fitchet
2007,Hemisfear,5038079331063528,Harwell Hellard
2010,X6 M,3546644844523985,Delmer Mileham
2005,Yukon XL 2500,67595332373181848,Halley Waskett
1998,Dakota,6333032475446650108,Corrinne Merigon
2012,LaCrosse,5048377167613426,Pietrek Florey
2003,Golf,3583348482819267,Patsy Esgate
1998,LSS,3578971514314861,Christin Cade
2004,Outback,561091222180079080,Cristina Forlong
2008,SRX,3571932507061064,Vittorio Walkling
1986,XT,560221214888935973,Tallie Kroll
2012,Veloster,3585598636154759,Rita Lamey
1985,LTD Crown Victoria,3565877223695257,Orly Witcomb
2008,CX-9,36152316540449,Carney Coot
2000,Catera,3584322113494385,Jolyn Songhurst
1967,Firebird,3565288205478151,Arney Sheerin
2000,Frontier,5007666561015165,Erinn Oakman
2007,Savana 1500,4911789659160095,Donni Perin
1989,ES,3579304143314905,Ailbert Cunnell
1987,Familia,50183222064985413,Gert Twigger
2009,SLK55 AMG,340948006412653,Ludwig Titterton
2005,Rainier,3529544107599303,Nita Han
1992,Mighty Max,3531777172110962,Babb Gilleon
1994,Miata MX-5,4936952489459084,Aubrie Dawks
2010,A4,3536134191336142,Emile Boutflour
2001,SLK-Class,630473662564506029,Kimberley Kleinber
1996,Viper,5100141324723683,Emmanuel Haslen
1991,80,3562415213335569,Carin Estrella
2005,Savana 1500,3530355830634466,Koo Dunge
2005,Pacifica,30394551161921,Nester Greatbanks
2007,E150,30550916887662,Pauly Tsarovic
2011,Cooper Countryman,5200034478081975,Tab Roseby
1999,Windstar,5100148977191886,Alaster Canet
1999,Caravan,3555674990023835,Englebert Lerohan
2009,Cayenne,5602255969706770,Rafaellle Deverille
1985,RX-7,3553536348633726,Ripley Berkely
1995,Avalon,5602220194528811,Cortie Dameisele
2006,Sebring,5602229941955956519,Shellie Algie
1992,Cherokee,3582726587048299,Ade Reese
2002,Camry,6331105027975451,Normand Aspin
1997,Miata MX-5,3566348375925180,Margit Stronach
2010,Freelander,5558395730390720,Davin Posvner
1997,8 Series,5100170153797179,Britteny Yakhin
1999,Cherokee,370538983394967,Candice MacKeague
1966,Toronado,374288537594136,Ivy Stillgoe
2012,C-Class,5602227097076653329,Daniela Creech
1990,Bronco,374288716653976,Moishe Hoggins
2001,Regal,3588336773901527,Dmitri Kulver
2009,GT-R,4508434581075884,Pincus Barrow
1992,164,3533237544091604,Lanae McCarty
2009,MKS,5549989101057355,Ricki Vitet
2000,Seville,5610091889692695,Rea Orrill
2012,Focus,670979549859395553,Frederigo Baggs
1994,Ciera,30565022730564,Taddeo Castille
2011,TundraMax,3589058250389716,Yehudit Stenner
2006,Avalanche 2500,3556414094378242,Melodie Cheyney
1991,Tempo,5471374315752228,Oneida Bough
1997,Odyssey,3575025207578374,Baudoin Bartelet
2003,S-Type,6759020538359686,Skipper Olney
1997,900,337941975079780,Sayer Caldeyroux
2007,Suburban 2500,3543556533362785,Aili Findlow
2005,Equinox,4017956105364471,Didi Rodson
1989,430,3545737173943567,Edee Eglinton
1991,Coupe Quattro,4911388200670213968,Gifford Cullinan
2008,LS,6381560617628127,Amelie Peever
1987,Aerostar,3536843614003028,Celine Alvy
2005,Coupe,5602249709855161,Belvia Prestney
